"Column","Min","Max","Avg","Reason"
"GDP Growth Rate (%)","2.79","20170","5742.5","Tỷ lệ % nên từ 0-100"
"Poverty Rate (%)","3.7","151","80.96","Tỷ lệ % nên từ 0-100"
