Year,Population,Vietnam Global Rank,ASEAN Population Rank,Vietnam's Share of Asian Pop (%),Country's Share of World Pop,Median Age,Regional Median Age,Global Median Age,Dependency Ratio (%),Sex Ratio (M/F),Pop Aged 0–14 (%),Pop Aged 15–64 (%),Pop Aged 65+ (%),GDP per Capita (USD),HDI,Unemployment Rate (%),GDP Growth Rate (%),FDI Net Inflows (million USD),GDP PPP per Capita (Int$),Fertility Rate,Life Expectancy,Birth Rate (‰),Death Rate (‰),Employment Agriculture (%),Employment Industry (%),Employment Services (%),Poverty Rate (%),Health Expenditure (% GDP),Rural Population,Urban Population,Energy Consumption per Capita (kWh),CO₂ Emissions per Capita (t),Agricultural Land (% Land),Forest Area (% Land),Human Capital Index (0-1),Renewable Energy Share (%),Yearly % Change,Migrants (net),Density (P/Km²),Sex Ratio,Life Expectancy Male,Life Expectancy Female,Infant Mortality,Under-5 Mortality,Deaths,Deaths Male,Deaths Female,Births,HDI_UNDP,Life_Expectancy_UNDP,Education_Index_UNDP,Income_Index_UNDP,Land Area (Km²),Literacy Rate (%),Housing Units (million),Net Migration Rate (‰),Population Share Change,Infant Mortality Rate (‰),Urbanization Ratio,Mean Years of Schooling,GNI per Capita (USD),Climate Risk Index,World Population,Population Density by Region (ĐBSH),Population Doubling Time (Years),Dependency Index,Population Growth (Absolute),Urban Growth Rate (%),Population Density by Region (Miền Trung),Yearly Change,Expected Years of Schooling,Regional Avg Fertility Rate,Population Density by Region (ĐBSCL),Urban Pop %,EPI Score,Imports (% GDP),Education Index,Migration Rate (‰),Vietnam’s Share of Asian Pop (%),World Urbanization Rate (%),Inflation Rate (%),Household Size (People),Exports (% GDP),GDP (billion USD),Population Density by Region (Miền Núi)
2006,82167897.0,15.0,3.0,2.03,1.2316,25.2986,26.29,26.32,70.33,0.9514,37.0521,58.70902,4.238880000000001,692.5751703478261,0.656,4.82,5.612187897371721,2400.0,5866.293867,1.8729,73.2925,17.249,5.772,52.150000000000006,15.75,32.099999999999994,55.5,2.84,56672372.388,25495524.612,888.0,1.187018027,38.0,42.82,0.7,4.0,1.735,482.399,262.1747,95.1402,68.4768,78.0493,18.3969,24.9086,474.297,271.492,202.805,1417.335,0.656,73.293,11.83680439,5866.293867,310070,100.0,21.7,-204.1,0.0,15.5,0.282,6.2,369,31.0,6671452015,1580,78.0,19.0,1079584,7.6,275,1079584,12.2,0.9,3300,28.9,31.5,72.0,0.92,-204.1,4.35,34.0,4.2,0.7,52.0,61.0,117
2007,83633375.0,15.0,3.0,2.04,1.2377,25.8423,26.57,26.53,69.23,0.9491,36.23655,59.08961000000001,4.673840000000001,805.7671683043478,0.664,4.64,5.4589749893277775,6981.0,6186.533382,1.9107,73.385,17.537,5.799,51.8,16.0,32.2,54.0,2.88,57420285.75,26213089.25,904.0,1.196635026,38.0,42.64,0.7,4.5,1.8,523.784,266.8506,94.9085,68.5588,78.1516,18.0603,24.3994,484.952,277.315,207.636,1466.698,0.664,73.385,12.06311131,6186.533382,310070,100.0,22.1,-151.4,0.01,14.0,0.286,6.4,393,30.0,6757308781,1610,70.3,18.0,1465478,7.7,280,1465478,12.4,0.8,3350,29.4,32.0,74.0,0.94,-151.4,4.4,33.0,5.0,0.6,54.0,77.4,119
2008,85175788.0,15.0,3.0,2.06,1.2444,26.3403,26.84,26.74,68.24,0.9469,35.48955,59.43820999999999,5.07224,1034.448741826087,0.672,2.38,4.414096783095645,9578.99749,6459.612953,1.9332,73.455,17.664,5.828,51.45,16.25,32.3,52.5,2.92,58211567.11314286,26964220.88685714,921.0,1.335354956,38.0,42.46,0.7,5.0,1.854,571.113,271.772,94.6946,68.6324,78.2129,17.7618,23.983,496.395,283.264,213.132,1504.57,0.672,73.455,12.28941822,6459.612953,310070,100.0,22.5,-101.0,0.01,12.5,0.29,6.6,417,29.0,6844457662,1640,65.9,17.0,1542413,7.8,285,1542413,12.6,0.7,3400,29.8,32.5,76.0,0.96,-101.0,4.45,32.0,6.0,0.5,56.0,99.1,121
2009,86460018.0,15.0,3.0,2.06,1.2471,26.7845,27.12,26.95,67.37,0.9463,34.82325,59.74915,5.427600000000002,1146.768507826087,0.679,2.9,3.014748970517767,7600.0,6654.354068,1.9205,73.5253,17.528,5.872,51.1,16.5,32.4,51.0,2.96,58817515.10228571,27642502.897714287,937.0,1.43951425,38.0,42.28,0.7,5.5,1.144,-18.56,275.8696,94.6344,68.7061,78.2719,17.4688,23.5822,507.732,289.069,218.663,1515.454,0.679,73.525,12.51572514,6654.354068,310070,100.0,22.9,-52.2,0.01,11.0,0.294,6.8,441,28.0,6932766416,1670,62.5,16.0,1284230,7.9,290,1284230,12.8,0.6,3450,30.3,33.0,78.0,0.98,-52.2,4.5,31.0,7.0,0.4,58.0,106.0,123
2010,87455152.0,15.0,3.0,2.06,1.2455,27.1907,27.41,27.17,66.57,0.9472,34.21395,60.03349,5.75256,1354.1751918695652,0.686,2.88,6.26790938290662,8000.0,7071.442951,1.9056,73.6107,17.409,5.911,50.75,16.75,32.5,49.5,3.0,59219631.49714286,28235520.50285714,954.0,1.596638648,38.0,42.1,0.7,6.0,1.145,-4.443,279.0448,94.7237,68.7749,78.3767,17.2596,23.2717,516.931,294.209,222.722,1522.48,0.686,73.611,12.74203205,7071.442951,310070,100.0,23.3,-5.1,0.02,9.5,0.308,8.0,465,27.0,7021732148,1700,60.0,15.0,995134,8.0,295,995134,12.5,0.5,3500,30.8,33.5,85.0,0.99,-5.1,4.55,30.0,9.2,0.3,80.0,115.9,125
2011,88468314.0,15.0,3.0,2.06,1.2441,27.6035,27.71,27.39,65.78,0.9482,33.59475,60.32245,6.082800000000001,1751.732100521739,0.693,2.22,5.53339909140702,7519.002,7462.734111,1.9268,73.7126,17.588,5.947,50.400000000000006,17.0,32.599999999999994,48.0,3.04,59627643.63599999,28840670.364,970.0,1.726789188,38.0,41.92,0.7,6.5,1.159,-4.602,282.2775,94.8194,68.9081,78.4385,17.0639,22.9783,526.146,298.38,227.766,1555.971,0.693,73.713,12.96833897,7462.734111,310070,100.0,23.7,-5.1,0.01,8.0,0.311,8.1,489,26.0,7110923765,1730,59.7,14.0,1013162,8.1,300,690648,12.6,0.4,3550,31.5,34.0,86.0,1.0,-5.1,4.6,29.0,8.5,0.2,81.0,134.1,127
2012,89510356.0,15.0,3.0,2.06,1.243,28.0177,28.0,27.61,64.98,0.9493,32.97345,60.61239,6.414160000000002,1994.386844217392,0.698,1.96,3.9128393783933415,8368.0,7754.73891,1.9668,73.7619,17.892,6.008,50.05,17.25,32.7,46.5,3.08,60048661.68228571,29461694.317714285,986.0,1.615655741,38.0,41.74,0.7,7.0,1.183,-4.851,285.6024,94.9287,68.9789,78.4648,16.8801,22.7227,537.795,304.157,233.638,1601.508,0.698,73.762,13.19464588,7754.73891,310070,100.0,24.1,-5.2,0.01,6.5,0.314,8.2,513,25.0,7201202485,1760,59.3,13.0,1042042,8.2,305,1057100,12.7,0.3,3600,32.1,34.5,87.0,1.0,-5.2,4.65,28.0,7.8,0.1,82.0,155.8,129
2013,90573104.0,15.0,3.0,2.06,1.2421,28.4264,28.28,27.83,64.21,0.9505,32.3604,60.89848,6.741120000000001,2166.9769240869564,0.704,2.18,4.192691653109439,8900.0,8079.871201,1.9805,73.8207,17.888,6.057,49.7,17.5,32.8,45.0,3.12,60476955.44228572,30096148.557714287,1003.0,1.67765363,38.0,41.56,0.7,7.5,1.178,-4.979,288.9933,95.0543,69.042,78.5243,16.7473,22.5407,548.595,310.031,238.564,1620.204,0.704,73.821,13.4209528,8079.871201,310070,100.0,24.5,-5.2,0.01,5.0,0.317,8.3,537,24.0,7291793585,1790,59.0,12.0,1062748,8.3,310,988500,12.8,0.2,3650,32.8,35.0,88.0,1.0,-5.2,4.7,27.0,7.0,0.0,83.0,171.2,131
2014,91679578.0,15.0,3.0,2.07,1.242,28.8185,28.58,28.06,63.47,0.9518,31.77225,61.17295,7.0548,2365.8784720869567,0.711,2.1,4.864657965727881,9200.0,8472.929299,2.09,73.8859,18.671,6.114,49.35,17.75,32.9,43.5,3.16,60927628.12228572,30751949.877714284,1019.0,1.972593915,38.0,41.38,0.7,8.0,1.25,-4.894,292.5238,95.1829,69.1005,78.5983,16.5529,22.2675,560.517,316.683,243.834,1711.735,0.711,73.886,13.64725971,8472.929299,310070,100.0,24.9,-5.2,0.01,3.5,0.32,8.4,561,23.0,7381616244,1820,58.7,11.0,1106474,8.4,315,1012400,12.9,0.1,3700,33.4,35.5,89.0,1.0,-5.2,4.75,26.0,6.5,-0.1,84.0,186.2,133
2015,92823254.0,15.0,3.0,2.07,1.2425,29.1926,28.9,28.3,62.77,0.9531,31.2111,61.43482,7.35408,2461.0359390869567,0.717,2.33,4.565558171784306,11800.0,8859.765815,2.1,73.9554,18.498,6.153,49.0,18.0,33.0,42.0,3.2,61395952.28857143,31427301.711428568,1036.0,2.313780945,38.0,41.2,0.7,8.5,1.229,-4.888,296.1729,95.3051,69.1474,78.6999,16.4075,22.0584,571.142,323.167,247.976,1717.064,0.717,73.955,13.87356663,8859.765815,310070,100.0,25.3,-5.3,0.0,2.0,0.341,8.5,585,22.0,7470491872,1850,55.6,10.0,1143676,8.5,320,1024800,13.0,0.0,3750,34.1,36.0,90.0,1.0,-5.3,4.8,25.0,6.0,-0.2,85.0,193.2,135
2016,94000117.0,15.0,3.0,2.08,1.2436,29.5174,29.22,28.54,62.17,0.9549,30.7239,61.66218,7.613919999999999,2645.138176956522,0.723,2.3,5.028840031478858,12600.0,9305.309265,2.0,73.9837,17.313,6.195,48.650000000000006,18.25,33.099999999999994,40.5,3.24,61878934.16228571,32121182.83771429,1052.0,2.372899563,38.0,41.02,0.7,9.0,1.29,167.652,299.9279,95.4881,69.1527,78.7624,16.2581,21.8746,582.358,329.858,252.5,1627.396,0.723,73.984,14.09987354,9305.309265,310070,100.0,25.7,-5.5,0.0,0.5,0.348,8.6,609,21.0,7558554526,1880,53.4,9.0,1176863,8.6,325,1022100,13.1,-0.1,3800,34.8,36.5,91.0,1.0,-5.5,4.85,24.0,5.5,-0.3,86.0,205.3,137
2017,95176977.0,15.0,3.0,2.08,1.2449,29.819,29.55,28.79,61.62,0.9569,30.271500000000003,61.8733,7.8552,2921.355287130435,0.729,2.24,5.18446566644016,14100.0,9787.739829,1.985,74.0265,16.764,6.238,48.3,18.5,33.2,39.0,3.28,62354516.646,32822460.354,1069.0,2.420566012,38.0,40.84,0.7,9.5,1.199,139.245,303.683,95.6909,69.2171,78.7898,16.1073,21.6722,593.746,335.781,257.965,1595.53,0.729,74.026,14.32618046,9787.739829,310070,100.0,26.1,-5.8,0.0,-1.0,0.355,8.7,633,20.0,7645617954,1910,52.0,8.0,1176860,8.7,330,1035300,13.2,-0.2,3850,35.45,37.0,92.0,1.0,-5.8,4.9,23.0,5.0,-0.4,87.0,223.8,139
2018,96237319.0,15.0,3.0,2.09,1.245,30.1749,29.89,29.04,60.97,0.9581,29.73765,62.12243,8.139920000000002,3219.117340695652,0.737,2.19,7.50169787742527,15500.0,10521.9865,1.88,74.1004,15.438,6.263,47.95,18.75,33.3,37.5,3.3200000000000003,62746731.988000005,33490587.012,1085.0,2.689991069,38.0,40.66,0.7,10.0,1.018,96.65,307.0662,95.8128,69.3028,78.8633,15.9677,21.4503,602.701,340.867,261.834,1485.701,0.737,74.1,14.55248737,10521.9865,310070,100.0,26.5,-6.1,0.01,-2.5,0.361,8.8,657,19.0,7729902781,1940,50.7,7.0,1060342,8.8,335,1099200,13.3,-0.3,3900,36.1,37.5,93.0,1.0,-6.1,4.95,22.0,4.5,-0.5,88.0,245.2,141
2019,97173776.0,15.0,3.0,2.09,1.244,30.5859,30.24,29.31,60.23,0.9587,29.12115,62.41013,8.46872,3473.069781347826,0.744,2.17,6.475096693956021,16120.0,11203.2953,1.9428,74.2113,15.513,6.3,47.6,19.0,33.4,36.0,3.3600000000000003,63051898.656,34121877.344,1101.0,3.541017213,38.0,40.48,0.7,10.5,0.919,-2.051,310.0542,95.8744,69.4142,78.9723,15.7614,21.1621,612.164,346.335,265.829,1507.477,0.744,74.211,14.77879429,11203.2953,310070,100.0,26.9,-6.3,0.01,-4.0,0.367,8.9,681,18.0,7811293698,1970,48.6,6.0,936457,8.9,340,1098800,13.4,-0.4,3950,36.7,38.0,94.0,1.0,-6.3,5.0,21.0,4.0,-0.6,89.0,261.9,143
2020,98079191.0,15.0,3.0,2.09,1.2436,31.0268,30.6,29.58,59.44,0.9592,28.4598,62.71876,8.82144,3584.199876652174,0.755,2.48,2.7881027111728445,15800.0,11515.65468,1.9572,75.3832,15.234,5.813,47.25,19.25,33.5,34.5,3.4000000000000004,63331134.76,34748056.24,1118.0,3.750279686,38.0,40.3,0.7,11.0,0.936,-6.457,312.9431,95.917,70.3658,80.3144,15.6129,20.9751,570.112,329.603,240.508,1494.146,0.755,75.383,15.0051012,11515.65468,310070,100.0,27.3,-6.6,0.0,-5.5,0.374,8.4,705,17.0,7887001292,2000,75.0,5.0,905415,9.0,345,1098700,13.0,-0.5,4000,37.4,24.5,95.0,1.0,-6.6,5.05,20.0,3.2,-0.7,90.0,271.1,145
2021,98935098.0,16.0,3.0,2.1,1.2438,31.4759,30.96,29.83,58.65,0.9596,27.78615,63.03313000000001,9.18072,3746.1670256521743,0.754,3.2,0.7719398720281891,15660.0,11604.54861,1.9423,74.1448,14.735,6.653,46.900000000000006,19.5,33.599999999999994,33.0,3.4400000000000004,63572867.25771429,35362230.74228571,1134.0,3.221287054,38.0,40.120000000000005,0.7,11.5,0.803,-5.418,315.6741,95.9631,69.4924,78.7707,15.4301,20.7056,658.187,365.498,292.69,1457.843,0.754,74.145,15.23140812,11604.54861,310070,100.0,27.7,-43.2,-0.01,-7.0,0.382,8.5,729,16.0,7954448391,2030,79.5,4.5,855907,9.1,350,923500,13.1,-0.6,4050,38.2,25.0,96.0,1.0,-43.2,5.1,19.0,1.8,-0.8,91.0,366.1,147
2022,99680655.0,16.0,3.0,2.1,1.2427,31.9384,31.34,30.09,57.84,0.9599,27.0924,63.35688,9.550720000000002,4205.845203869565,0.764,2.32,7.631321128999947,17900.0,12490.12898,1.9273,74.5025,14.272,6.488,46.55,19.75,33.7,31.5,3.4800000000000004,63738658.82571429,35941996.17428571,1151.0,3.031299831,38.0,39.94,0.7,12.0,0.699,-78.977,318.0529,95.9924,69.7606,79.2112,15.2459,20.4546,646.765,366.007,280.757,1422.615,0.764,74.502,15.45771503,12490.12898,310070,100.0,28.1,-79.3,-0.01,-8.5,0.39,8.6,753,15.0,8021407192,2060,92.7,3.5,745557,9.2,355,968200,13.2,-0.7,4100,39.0,25.5,97.0,1.0,-79.3,5.15,18.0,3.16,-0.9,92.0,410.3,149
2023,100352192.0,16.0,3.0,2.1,1.2402,32.4294,31.74,30.36,56.98,0.96,26.3559,63.70058000000001,9.94352,4473.269397565217,0.766,2.3,4.343480766841526,18500.0,13032.63533,1.9125,74.5883,13.831,6.577,46.2,20.0,33.8,30.0,3.5200000000000005,63852666.166857146,36499525.83314285,1167.0,3.385895764,38.0,39.76,0.7,12.5,0.644,-81.789,320.1956,95.9957,69.8771,79.2643,15.0668,20.2189,659.98,372.923,287.057,1387.961,0.766,74.588,15.45771503,13032.63533,310070,100.0,28.5,-81.5,-0.01,-10.0,0.398,8.7,777,14.0,8091734930,2090,103.3,2.5,671537,9.3,360,834800,13.3,-0.8,4150,39.8,26.0,98.0,1.0,-81.5,5.2,17.0,3.25,-1.0,93.0,429.7,151
2024,100987686.0,16.0,3.0,2.1,1.2373,32.9257,32.12,30.62,56.13,0.9599,25.61145,64.04799,10.34056,113641334.65,0.776,2.2,7.091,18500.0,14370.773,1.895,74.7364,13.423,6.646,45.85,20.25,33.9,28.5,3.5600000000000005,63939632.05028571,37048053.94971429,1184.0,1.89,38.0,39.58,0.7,13.0,0.619,-59.645,322.2233,95.9926,70.0511,79.3818,14.6743,19.7221,671.121,378.878,292.243,1355.563,,,4.098730664,1.0,310070,100.0,28.9,-59.1,-0.01,-11.5,0.406,8.8,801,13.0,8161972572,2120,110.0,1.5,635494,9.4,365,1034600,13.4,-0.9,4200,40.6,26.5,99.0,1.0,-59.1,5.25,16.0,3.5,-1.1,94.0,476.4,153
2025,101598527.0,16.0,3.0,2.1,1.2342,33.4196,32.49,30.86,55.29,0.9598,24.8706,64.39372,10.735680000000002,123942287.722,0.782,2.25,6.457,19000.0,15169.814,1.8783,74.8813,13.075,6.726,45.5,20.5,34.0,27.0,3.6000000000000005,64007072.01,37591454.99,1200.0,1.9,38.0,39.4,0.7,13.5,0.588,-48.171,324.1723,95.9841,70.2282,79.4902,14.3347,19.2808,683.371,385.175,298.195,1328.422,,,4.236048544,,310070,100.0,29.3,-47.4,-0.01,-13.0,0.414,8.9,826,12.0,8231613070,2150,116.7,0.5,610841,9.5,370,254727,13.5,-1.0,4250,41.4,27.0,100.0,1.0,-47.4,5.3,15.0,3.0,-1.2,95.0,520.0,155
